State,Age Range,"Total
all 
classes1","Violent
crime2","Property
crime2","Murder and
nonnegligent
manslaughter",Rape3,Robbery,"Aggravated
assault",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,"Other
assaults","Forgery and
counterfeiting",Fraud,Embezzlement,"Stolen
property;
buying,
receiving,
possessing",Vandalism,"Weapons;
carrying,
possessing,
etc.","Prostitution and
commercialized
vice","Sex offenses
(except
rape and
prostitution)","Drug 
abuse
violations",Gambling,"Offenses
against
the family
and
children","Driving
under the
influence","Liquor
laws",Drunkenness4,"Disorderly
conduct",Vagrancy,"All other
offenses
(except
traffic)",Suspicion,"Curfew
and
loitering
law
violations","Number
of
agencies","2017
estimated 
population"
ALABAMA  ,Under 18,"4,707",365,"1,264",18,34,116,197,323,860,71,10,782,13,29,1,134,86,103,0,26,196,0,29,42,212,34,338,0,"1,053",0,0,,
ALABAMA  ,Total all ages,"153,285","6,005","18,366",317,344,"1,140","4,204","3,223","14,030",994,119,"16,455","1,189","3,258",161,"2,484","1,413","1,963",2,550,"11,267",0,822,"7,194","2,064","6,165","2,018",56,"71,853",0,0,223,"3,737,635"
ALASKA,Under 18,"1,570",164,459,1,26,20,117,117,258,78,6,320,2,5,7,5,98,21,1,9,180,0,0,23,80,10,14,0,172,0,0,,
ALASKA,Total all ages,"29,152","2,374","3,695",46,126,289,"1,913",623,"2,356",694,22,"4,478",113,219,77,105,"1,004",369,5,256,"1,004",0,159,"3,102",653,43,757,2,"10,737",0,0,32,"736,205"
ARIZONA,Under 18,"22,613","1,228","4,528",30,52,450,696,761,"3,364",347,56,"3,677",22,74,6,156,"1,754",258,4,218,"3,096",1,182,198,"1,461",78,"1,424",57,"3,062",3,"1,126",,
ARIZONA,Total all ages,"277,698","12,832","34,919",261,339,"2,085","10,147","3,974","29,142","1,590",213,"26,801","1,201","2,076",457,"1,410","10,287","3,090",303,"1,289","33,230",12,"2,680","24,195","8,935","15,574","15,505",616,"81,016",144,"1,126",91,"6,400,872"
ARKANSAS,Under 18,"7,878",459,"1,562",15,46,101,297,386,"1,083",88,5,"1,443",15,29,5,144,287,126,0,18,876,0,6,32,205,85,609,0,"1,667",0,310,,
ARKANSAS,Total all ages,"123,971","4,715","12,355",138,238,563,"3,776","2,026","9,686",603,40,"11,347",830,893,54,"1,766","1,510","1,106",172,92,"17,515",13,293,"5,988","1,475","6,247","2,469",315,"54,506",0,310,264,"2,760,388"
CALIFORNIA ,Under 18,"51,603","7,152","10,712",98,295,"2,952","3,807","4,067","4,616","1,774",255,"8,483",45,175,23,"1,167","2,656","3,081",18,"1,139","3,781",11,2,455,"1,107",695,"1,193",103,"8,607",0,998,,
CALIFORNIA ,Total all ages,"1,093,363","109,117","105,757","1,499","2,561","16,942","88,115","38,094","46,602","19,501","1,560","80,248","4,440","6,903",990,"17,398","16,883","28,547","7,056","9,244","212,025",287,227,"122,961","7,079","63,278","3,530","6,773","289,622",0,998,676,"39,386,220"
